avg_degree,proportion_connected_nodes,avg_connectivity,dataset_agg,category
29.502538071065988,1.0,17.38886116607875,nonLumpy,airplane
21.98355263157895,0.9983552631578948,13.52881943878078,lumpy,airplane
29.502538071065988,0.9898477157360406,14.139936775553211,nonLumpy,bed
29.21262458471761,0.9717607973421928,16.06515045076689,lumpy,bed
21.63149078726968,0.9798994974874372,15.570522178551377,nonLumpy,bottle
31.10112359550562,0.971107544141252,23.46865438611954,lumpy,bottle
28.25,0.9016666666666666,16.86332598933719,nonLumpy,camera
29.751677852349,0.9077181208053692,16.195282184432777,lumpy,camera
27.04433497536946,0.9983579638752051,16.30407851382988,nonLumpy,car
28.95172413793104,0.9982758620689656,16.361702254812318,lumpy,car
25.19281045751634,0.9967320261437908,14.660286952542464,nonLumpy,chair
29.502538071065988,0.9898477157360406,17.08571563299421,lumpy,chair
