avg_degree,proportion_connected_nodes,avg_connectivity,dataset_agg,category
29.57021996615905,0.9390862944162436,14.605215749622744,nonLumpy,airplane
26.50657894736842,0.9523026315789472,12.849671407911838,lumpy,airplane
22.69035532994924,0.9847715736040608,13.154946738352526,nonLumpy,bed
30.548172757475083,0.9867109634551496,15.635551694573618,lumpy,bed
28.48911222780569,0.9798994974874372,11.75727288639944,nonLumpy,bottle
31.174959871589085,0.9919743178170144,10.831667049896527,lumpy,bottle
29.72,0.9883333333333332,16.405335455360177,nonLumpy,camera
30.325503355704697,0.9848993288590604,18.770389161763912,lumpy,camera
24.85057471264368,0.9770114942528736,13.596653544428555,nonLumpy,car
29.844827586206897,0.9775862068965516,14.481232199724545,lumpy,car
30.669934640522875,0.988562091503268,15.085006391043724,nonLumpy,chair
27.0186125211506,0.988155668358714,12.56592612608379,lumpy,chair
