avg_degree,proportion_connected_nodes,avg_connectivity,dataset_agg,category
28.21319796954315,0.9915397631133672,17.389780130053985,nonLumpy,airplane
30.351973684210527,0.9884868421052632,17.717820299500833,lumpy,airplane
19.150592216582066,0.9915397631133672,5.099057787112395,nonLumpy,bed
30.0531561461794,0.9850498338870431,11.31946883103292,lumpy,bed
22.14070351758794,0.9698492462311558,14.148952676493408,nonLumpy,bottle
31.10112359550562,0.971107544141252,22.356341283267017,lumpy,bottle
26.046666666666667,0.9933333333333332,16.579067313133784,nonLumpy,camera
29.751677852349,0.9899328859060402,17.620286740505854,lumpy,camera
26.817733990147783,0.9885057471264368,12.824848950530953,nonLumpy,car
28.95172413793104,0.996551724137931,15.005433185609856,lumpy,car
21.437908496732025,0.988562091503268,6.308085411592427,nonLumpy,chair
29.502538071065988,0.9898477157360406,13.914075202507728,lumpy,chair
