avg_degree,proportion_connected_nodes,overall_avg_connectivity,subj,category
0.5234899328859061,0.3624161073825503,1.0,030FD,bottle
11.245283018867925,1.0,6.606676342525399,031HW,bottle
0.978102189781022,0.4890510948905109,1.244186046511628,032SR,bottle
,,,033SE,bottle
0.3636363636363636,0.3636363636363636,1.0,036MR,bottle
1.853658536585366,0.7073170731707317,1.2635135135135136,037SM,bottle
0.0454545454545454,0.0454545454545454,1.0,038RB,bottle
0.9117647058823528,0.5,1.058201058201058,039ED,bottle
,,,041EC,bottle
0.9504950495049505,0.5148514851485149,1.1573604060913705,042MB,bottle
,,,043MP,bottle
0.5333333333333333,0.4666666666666667,1.0,045NA,bottle
0.1860465116279069,0.1627906976744186,1.0,046TE,bottle
,,,047MS,bottle
20.77948717948718,0.958974358974359,12.921861471861472,030FD,bowl
1.6285714285714286,0.7142857142857143,1.1876430205949655,031HW,bowl
0.6,0.55,1.0,032SR,bowl
2.4878048780487805,0.7073170731707317,1.671641791044776,033SE,bowl
,,,036MR,bowl
18.746081504702197,0.9780564263322884,11.519478110314123,037SM,bowl
3.1625,0.76875,1.6861423220973784,038RB,bowl
2.658536585365854,0.7682926829268293,1.6435643564356437,039ED,bowl
,,,041EC,bowl
1.0769230769230769,0.5384615384615384,1.7777777777777777,042MB,bowl
2.5283018867924527,0.7358490566037735,1.5074224021592442,043MP,bowl
2.651685393258427,0.8202247191011236,1.3083475298126064,045NA,bowl
4.6923076923076925,0.8525641025641025,2.7987012987012987,046TE,bowl
,,,047MS,bowl
7.0505836575875485,0.9299610894941636,4.314907080772447,030FD,cup
2.764705882352941,0.7941176470588235,2.0374331550802136,031HW,cup
3.9583333333333335,0.875,2.384397163120568,032SR,cup
2.054054054054054,0.7297297297297297,1.7771428571428571,033SE,cup
2.2666666666666666,1.0,1.4285714285714286,036MR,cup
4.0,0.8773584905660378,2.055555555555556,037SM,cup
0.9523809523809524,0.5714285714285714,1.4642857142857142,038RB,cup
,,,039ED,cup
0.9090909090909092,0.4545454545454545,1.3,041EC,cup
1.1636363636363636,0.6181818181818182,1.0789473684210529,042MB,cup
0.0384615384615384,0.0384615384615384,1.0,043MP,cup
2.0,0.7101449275362319,1.6420387198735678,045NA,cup
4.0,0.8518518518518519,2.227159261108337,046TE,cup
0.5294117647058824,0.4117647058823529,1.3,047MS,cup
15.390862944162436,0.9847715736040608,9.756476683937825,030FD,door
8.185185185185185,0.9629629629629628,5.389070146818924,031HW,door
1.2222222222222223,0.6666666666666666,1.1065573770491803,032SR,door
3.7142857142857135,0.9285714285714286,2.4325744308231174,033SE,door
0.6206896551724138,0.4137931034482758,1.0,036MR,door
2.4814814814814814,0.8703703703703703,1.533029612756264,037SM,door
0.88,0.56,1.1153846153846154,038RB,door
5.04,0.88,3.309462915601023,039ED,door
,,,041EC,door
3.2857142857142856,0.9642857142857144,1.4617940199335548,042MB,door
1.2142857142857142,0.6785714285714286,1.3333333333333333,043MP,door
4.0,0.8620689655172413,2.417322834645669,045NA,door
,,,046TE,door
1.7222222222222223,0.8055555555555556,1.2574257425742574,047MS,door
13.57377049180328,0.9625292740046838,8.121535813898285,030FD,window
3.5384615384615383,1.0,2.1538461538461537,031HW,window
2.83,0.725,2.0200451347404758,032SR,window
5.711538461538462,0.9230769230769232,3.4581427264409883,033SE,window
0.1176470588235294,0.1176470588235294,1.0,036MR,window
17.119402985074625,0.9850746268656716,11.096231814929643,037SM,window
0.1333333333333333,0.1333333333333333,1.0,038RB,window
9.754716981132075,0.9905660377358492,5.977655677655678,039ED,window
2.75,0.9375,1.8909090909090909,041EC,window
3.733333333333333,0.9,2.5083056478405314,042MB,window
,,,043MP,window
3.333333333333333,0.9583333333333334,1.4980237154150198,045NA,window
9.881278538812785,0.9497716894977168,5.99261223716613,046TE,window
6.647302904564316,0.8713692946058091,3.64438664127456,047MS,window
33.76853526220615,0.9801084990958407,21.82536781005518,030FD,chair
7.821428571428571,0.9464285714285714,4.751913384356916,031HW,chair
10.928838951310862,0.9325842696629212,6.339608979000724,032SR,chair
8.065573770491802,0.9836065573770492,4.841596638655462,033SE,chair
3.902439024390244,0.8780487804878049,1.9301587301587304,036MR,chair
15.398148148148149,0.9814814814814816,9.329034903854916,037SM,chair
14.09771986970684,0.980456026058632,8.540087987071287,038RB,chair
11.219047619047618,0.961904761904762,6.872673267326733,039ED,chair
0.9230769230769232,0.5897435897435898,1.046875,041EC,chair
7.1328671328671325,0.916083916083916,4.44762020104154,042MB,chair
0.9166666666666666,0.4916666666666666,1.2307692307692308,043MP,chair
1.9482758620689653,0.7586206896551724,1.2949950281736826,045NA,chair
