avg_degree,proportion_connected_nodes,overall_avg_connectivity,subj,category
1.1946308724832215,0.7046979865771812,1.5691056910569106,030FD,bottle
2.150943396226415,0.8679245283018868,1.5813953488372092,031HW,bottle
1.8832116788321167,0.8248175182481752,1.5013850415512466,032SR,bottle
,,,033SE,bottle
0.5454545454545454,0.5454545454545454,1.0,036MR,bottle
1.5121951219512195,0.8292682926829268,1.162162162162162,037SM,bottle
2.363636363636364,0.9090909090909092,1.5573770491803278,038RB,bottle
0.8823529411764706,0.6323529411764706,1.1153846153846154,039ED,bottle
,,,041EC,bottle
2.257425742574257,0.9405940594059404,1.189771197846568,042MB,bottle
,,,043MP,bottle
0.2666666666666666,0.2666666666666666,1.0,045NA,bottle
0.7906976744186046,0.5581395348837209,1.2727272727272727,046TE,bottle
,,,047MS,bottle
13.668376068376068,1.0,9.913195176208877,030FD,bowl
1.457142857142857,0.7857142857142857,1.260115606936416,031HW,bowl
1.0,0.5,1.588235294117647,032SR,bowl
1.3170731707317074,0.6829268292682927,1.7333333333333334,033SE,bowl
,,,036MR,bowl
6.394984326018808,1.0,2.2978845054316754,037SM,bowl
11.9,1.0,7.341509433962264,038RB,bowl
2.1219512195121952,0.8902439024390244,1.494949494949495,039ED,bowl
,,,041EC,bowl
0.4615384615384615,0.4615384615384615,1.0,042MB,bowl
2.2264150943396226,0.8867924528301887,1.6206896551724137,043MP,bowl
1.1910112359550562,0.6966292134831461,1.346938775510204,045NA,bowl
2.269230769230769,0.8653846153846154,1.5333333333333334,046TE,bowl
,,,047MS,bowl
7.198443579766537,1.0,2.8896826361867705,030FD,cup
1.5294117647058822,0.6764705882352942,1.6428571428571428,031HW,cup
1.25,0.6875,1.7358490566037736,032SR,cup
1.837837837837838,0.7837837837837838,1.5555555555555556,033SE,cup
1.4666666666666666,0.9333333333333332,1.5,036MR,cup
1.7358490566037736,0.839622641509434,1.227777777777778,037SM,cup
1.238095238095238,0.7142857142857143,1.4782608695652173,038RB,cup
,,,039ED,cup
0.9090909090909092,0.7272727272727273,1.0,041EC,cup
0.9454545454545454,0.6363636363636364,1.2,042MB,cup
1.4230769230769231,0.75,1.8644067796610169,043MP,cup
1.8115942028985508,0.8188405797101449,1.4672364672364673,045NA,cup
0.5555555555555556,0.4629629629629629,1.1714285714285717,046TE,cup
1.411764705882353,0.6470588235294118,1.5849056603773586,047MS,cup
3.6345177664974617,0.964467005076142,1.474639022584228,030FD,door
2.703703703703704,0.925925925925926,1.4090909090909092,031HW,door
1.2962962962962965,0.7407407407407407,1.459016393442623,032SR,door
1.380952380952381,0.7142857142857143,1.8043478260869563,033SE,door
1.6551724137931034,0.7586206896551724,1.6170212765957446,036MR,door
0.8888888888888888,0.6481481481481481,1.181818181818182,037SM,door
2.08,0.8,2.0,038RB,door
2.2,0.88,1.6645569620253164,039ED,door
,,,041EC,door
1.5714285714285714,0.7142857142857143,1.7073170731707317,042MB,door
1.3571428571428572,0.6785714285714286,1.8888888888888888,043MP,door
0.896551724137931,0.6551724137931034,1.1304347826086956,045NA,door
,,,046TE,door
0.5,0.3888888888888889,1.3,047MS,door
7.274004683840749,1.0,3.627992695414468,030FD,window
0.9230769230769232,0.7692307692307693,1.0,031HW,window
3.26,0.97,1.6282401091405183,032SR,window
