avg_degree,proportion_connected_nodes,overall_avg_connectivity,subj,category
0.3221476510067114,0.1879194630872483,1.3275862068965518,030FD,bottle
4.528301886792453,0.7735849056603774,3.911167512690355,031HW,bottle
1.4306569343065694,0.3211678832116788,2.5660377358490565,032SR,bottle
,,,033SE,bottle
1.2727272727272727,0.6363636363636364,1.7777777777777777,036MR,bottle
0.4390243902439024,0.2926829268292683,1.0833333333333333,037SM,bottle
2.772727272727273,0.7727272727272727,2.561224489795918,038RB,bottle
0.4705882352941176,0.3088235294117647,1.4736842105263157,039ED,bottle
,,,041EC,bottle
3.267326732673267,0.5346534653465347,3.9831460674157295,042MB,bottle
,,,043MP,bottle
0.4,0.3333333333333333,1.0,045NA,bottle
0.5116279069767442,0.3720930232558139,1.1764705882352942,046TE,bottle
,,,047MS,bottle
13.692307692307692,0.6427350427350428,7.708122779136832,030FD,bowl
2.657142857142857,0.6285714285714286,2.97979797979798,031HW,bowl
0.1,0.1,1.0,032SR,bowl
2.0,0.6097560975609756,1.860759493670886,033SE,bowl
,,,036MR,bowl
4.608150470219436,0.5329153605015674,3.9720234222511386,037SM,bowl
23.8,0.875,14.849270150200972,038RB,bowl
2.951219512195122,0.5853658536585366,3.5454545454545454,039ED,bowl
,,,041EC,bowl
0.9230769230769232,0.6923076923076923,1.5,042MB,bowl
2.5283018867924527,0.6415094339622641,1.7987927565392354,043MP,bowl
1.1910112359550562,0.3932584269662921,2.6293103448275863,045NA,bowl
1.3846153846153846,0.3397435897435897,2.940659340659341,046TE,bowl
,,,047MS,bowl
11.540856031128405,0.6459143968871596,6.489638662377497,030FD,cup
1.9411764705882355,0.6470588235294118,1.6016260162601623,031HW,cup
0.9166666666666666,0.3333333333333333,1.4782608695652173,032SR,cup
4.702702702702703,0.6486486486486487,4.556034482758621,033SE,cup
2.8,0.7333333333333333,3.189189189189189,036MR,cup
1.8113207547169807,0.5,2.556338028169014,037SM,cup
0.9523809523809524,0.4523809523809524,1.7096774193548387,038RB,cup
,,,039ED,cup
1.0909090909090908,0.7272727272727273,1.375,041EC,cup
1.4181818181818182,0.4727272727272727,2.1538461538461537,042MB,cup
1.3461538461538465,0.4423076923076923,2.1683168316831685,043MP,cup
1.6956521739130437,0.391304347826087,3.315136476426799,045NA,cup
0.3703703703703703,0.2314814814814814,1.238095238095238,046TE,cup
1.5294117647058822,0.4705882352941176,2.2205882352941178,047MS,cup
2.802030456852792,0.4923857868020304,2.812433011789925,030FD,door
4.333333333333333,0.8518518518518519,3.193717277486911,031HW,door
1.2962962962962965,0.4444444444444444,1.546099290780142,032SR,door
1.9523809523809523,0.4523809523809524,2.6016260162601625,033SE,door
2.413793103448276,0.6206896551724138,2.296296296296296,036MR,door
1.1111111111111112,0.3703703703703703,2.298507462686567,037SM,door
2.4,0.6,1.876190476190476,038RB,door
4.36,0.6,5.990867579908676,039ED,door
,,,041EC,door
1.8571428571428568,0.6785714285714286,2.3255813953488373,042MB,door
0.4285714285714285,0.2857142857142857,1.375,043MP,door
0.4137931034482758,0.2068965517241379,1.2,045NA,door
,,,046TE,door
0.3333333333333333,0.25,1.5,047MS,door
5.142857142857143,0.5550351288056206,2.8043538804307464,030FD,window
3.076923076923077,0.9230769230769232,2.5294117647058822,031HW,window
2.17,0.46,2.7318777292576417,032SR,window
2.5384615384615383,0.5192307692307693,2.4187358916478554,033SE,window
1.8823529411764703,0.7647058823529411,1.2307692307692308,036MR,window
0.8805970149253731,0.3059701492537313,1.5782747603833869,037SM,window
1.5333333333333334,0.4,2.8043478260869565,038RB,window
1.8679245283018868,0.5377358490566038,1.5795795795795795,039ED,window
0.125,0.125,1.0,041EC,window
1.1333333333333333,0.4333333333333333,1.2564102564102564,042MB,window
,,,043MP,window
