bowl, 030FD, 0.6826106788907648, 030FD_013750.jpg, 030FD_016625.jpg, t2t
bowl, 030FD, 0.7236103333201529, 030FD_013750.jpg, 030FD_016650.jpg, t2t
bowl, 030FD, 0.6604479104961858, 030FD_013750.jpg, 030FD_016725.jpg, t2t
bowl, 030FD, 0.5629546371905276, 030FD_013750.jpg, 030FD_016750.jpg, t2t
bowl, 030FD, 0.5623186537231368, 030FD_013750.jpg, 030FD_016775.jpg, t2t
bowl, 030FD, 0.6311366593576966, 030FD_013750.jpg, 030FD_016800.jpg, t2t
bowl, 030FD, 0.5307890877813352, 030FD_013750.jpg, 030FD_016825.jpg, t2t
bowl, 030FD, 0.5460342825521264, 030FD_013750.jpg, 030FD_016875.jpg, t2t
bowl, 030FD, 0.4706659535833068, 030FD_013750.jpg, 030FD_016950.jpg, t2t
bowl, 030FD, 0.561176037645931, 030FD_013750.jpg, 030FD_016975.jpg, t2t
bowl, 030FD, 0.7628850538571679, 030FD_013750.jpg, 030FD_017000.jpg, t2t
bowl, 030FD, 0.6922256882331557, 030FD_013750.jpg, 030FD_017025.jpg, t2t
bowl, 030FD, 0.6154006932376425, 030FD_013750.jpg, 030FD_017050.jpg, t2t
bowl, 030FD, 0.7250432282801781, 030FD_013750.jpg, 030FD_017075.jpg, t2t
bowl, 030FD, 0.7486717450913668, 030FD_013750.jpg, 030FD_017100.jpg, t2t
bowl, 030FD, 0.6112660494150788, 030FD_013750.jpg, 030FD_017125.jpg, t2t
bowl, 030FD, 0.4637056401488902, 030FD_013750.jpg, 030FD_017425.jpg, t2t
bowl, 030FD, 0.4701064524381204, 030FD_013750.jpg, 030FD_017475.jpg, t2t
bowl, 030FD, 0.5427053504154119, 030FD_013750.jpg, 030FD_017500.jpg, t2t
bowl, 030FD, 0.769265644985109, 030FD_013750.jpg, 030FD_017525.jpg, t2t
bowl, 030FD, 0.619503750660533, 030FD_013750.jpg, 030FD_017550.jpg, t2t
bowl, 030FD, 0.6275671673522606, 030FD_013750.jpg, 030FD_017650.jpg, t2t
bowl, 030FD, 0.683071184851489, 030FD_013750.jpg, 030FD_017700.jpg, t2t
bowl, 030FD, 0.6594934303197695, 030FD_013750.jpg, 030FD_017725.jpg, t2t
bowl, 030FD, 0.5697424053475921, 030FD_013750.jpg, 030FD_017750.jpg, t2t
bowl, 030FD, 0.5752535624996554, 030FD_013750.jpg, 030FD_017775.jpg, t2t
bowl, 030FD, 0.6430961373090047, 030FD_013750.jpg, 030FD_017800.jpg, t2t
bowl, 030FD, 0.5459684207054336, 030FD_013750.jpg, 030FD_017825.jpg, t2t
bowl, 030FD, 0.6177156716126322, 030FD_013750.jpg, 030FD_017850.jpg, t2t
bowl, 030FD, 0.573168367736946, 030FD_013750.jpg, 030FD_017875.jpg, t2t
bowl, 030FD, 0.61585497265247, 030FD_013750.jpg, 030FD_017975.jpg, t2t
bowl, 030FD, 0.5797963552341775, 030FD_013750.jpg, 030FD_018000.jpg, t2t
bowl, 030FD, 0.5873635016066373, 030FD_013750.jpg, 030FD_018025.jpg, t2t
bowl, 030FD, 0.5334358821058713, 030FD_013750.jpg, 030FD_018050.jpg, t2t
bowl, 030FD, 0.5998615121970642, 030FD_013750.jpg, 030FD_018075.jpg, t2t
bowl, 030FD, 0.5330166411421305, 030FD_013750.jpg, 030FD_018100.jpg, t2t
bowl, 030FD, 0.693849829878778, 030FD_013750.jpg, 030FD_018125.jpg, t2t
bowl, 030FD, 0.7033653930980098, 030FD_013750.jpg, 030FD_018150.jpg, t2t
bowl, 030FD, 0.600829523751485, 030FD_013750.jpg, 030FD_018200.jpg, t2t
bowl, 030FD, 0.6843046190282089, 030FD_013750.jpg, 030FD_018225.jpg, t2t
bowl, 030FD, 0.68197873030802, 030FD_013750.jpg, 030FD_018250.jpg, t2t
bowl, 030FD, 0.6125605473016139, 030FD_013750.jpg, 030FD_018275.jpg, t2t
bowl, 030FD, 0.5290153271407131, 030FD_013750.jpg, 030FD_018300.jpg, t2t
bowl, 030FD, 0.6081553663581829, 030FD_013750.jpg, 030FD_018325.jpg, t2t
bowl, 030FD, 0.6183187530119583, 030FD_013750.jpg, 030FD_018350.jpg, t2t
bowl, 030FD, 0.6263678338765067, 030FD_013750.jpg, 030FD_018375.jpg, t2t
bowl, 030FD, 0.6768437702700483, 030FD_013750.jpg, 030FD_018425.jpg, t2t
bowl, 030FD, 0.6567773740538574, 030FD_013750.jpg, 030FD_018450.jpg, t2t
bowl, 030FD, 0.6465338436803517, 030FD_013750.jpg, 030FD_018475.jpg, t2t
