train_acc,test_acc,dataset,seed
29.133333333333333,16.666666666666668,non-lumpy,0
38.2,22.6,non-lumpy,0
46.0,29.6,non-lumpy,0
49.13333333333333,35.266666666666666,non-lumpy,0
53.53333333333333,38.13333333333333,non-lumpy,0
55.93333333333333,38.666666666666664,non-lumpy,0
58.2,39.53333333333333,non-lumpy,0
60.8,42.4,non-lumpy,0
62.46666666666667,41.86666666666667,non-lumpy,0
63.266666666666666,43.53333333333333,non-lumpy,0
64.33333333333333,41.4,non-lumpy,0
65.73333333333333,43.0,non-lumpy,0
68.46666666666667,46.333333333333336,non-lumpy,0
68.86666666666666,47.4,non-lumpy,0
69.86666666666666,48.6,non-lumpy,0
72.8,47.86666666666667,non-lumpy,0
72.33333333333333,48.86666666666667,non-lumpy,0
73.73333333333333,47.53333333333333,non-lumpy,0
74.06666666666666,49.733333333333334,non-lumpy,0
74.06666666666666,51.8,non-lumpy,0
76.2,50.733333333333334,non-lumpy,0
76.66666666666667,48.266666666666666,non-lumpy,0
77.13333333333334,53.266666666666666,non-lumpy,0
78.06666666666666,53.266666666666666,non-lumpy,0
78.06666666666666,52.86666666666667,non-lumpy,0
80.6,56.0,non-lumpy,0
78.8,57.46666666666667,non-lumpy,0
80.93333333333334,56.86666666666667,non-lumpy,0
81.2,55.46666666666667,non-lumpy,0
82.86666666666666,57.4,non-lumpy,0
83.26666666666667,57.93333333333333,non-lumpy,0
82.93333333333334,57.666666666666664,non-lumpy,0
85.26666666666667,57.0,non-lumpy,0
85.6,56.733333333333334,non-lumpy,0
84.86666666666666,59.0,non-lumpy,0
84.8,58.733333333333334,non-lumpy,0
86.06666666666666,58.0,non-lumpy,0
86.06666666666666,62.46666666666667,non-lumpy,0
87.73333333333333,59.93333333333333,non-lumpy,0
86.8,61.2,non-lumpy,0
86.86666666666666,59.666666666666664,non-lumpy,0
86.66666666666667,58.13333333333333,non-lumpy,0
88.4,62.666666666666664,non-lumpy,0
88.4,63.666666666666664,non-lumpy,0
90.0,62.13333333333333,non-lumpy,0
89.33333333333333,62.86666666666667,non-lumpy,0
89.13333333333334,63.266666666666666,non-lumpy,0
88.93333333333334,63.6,non-lumpy,0
90.2,63.2,non-lumpy,0
89.86666666666666,64.86666666666666,non-lumpy,0
92.26666666666667,63.86666666666667,non-lumpy,0
91.33333333333333,64.53333333333333,non-lumpy,0
90.93333333333334,64.4,non-lumpy,0
91.26666666666667,65.13333333333334,non-lumpy,0
90.33333333333333,61.06666666666667,non-lumpy,0
90.66666666666667,65.2,non-lumpy,0
91.4,62.86666666666667,non-lumpy,0
91.66666666666667,63.4,non-lumpy,0
91.4,64.86666666666666,non-lumpy,0
91.6,66.2,non-lumpy,0
92.4,63.53333333333333,non-lumpy,0
92.8,66.4,non-lumpy,0
92.4,64.4,non-lumpy,0
92.66666666666667,66.73333333333333,non-lumpy,0
93.46666666666667,66.66666666666667,non-lumpy,0
94.06666666666666,66.33333333333333,non-lumpy,0
94.33333333333333,67.4,non-lumpy,0
93.6,65.6,non-lumpy,0
94.4,65.6,non-lumpy,0
94.46666666666667,67.06666666666666,non-lumpy,0
93.66666666666667,67.46666666666667,non-lumpy,0
94.8,65.26666666666667,non-lumpy,0
94.4,65.26666666666667,non-lumpy,0
94.4,65.66666666666667,non-lumpy,0
94.6,67.2,non-lumpy,0
94.26666666666667,65.13333333333334,non-lumpy,0
95.8,67.8,non-lumpy,0
95.0,66.2,non-lumpy,0
95.4,67.53333333333333,non-lumpy,0
94.6,66.46666666666667,non-lumpy,0
94.6,66.33333333333333,non-lumpy,0
95.4,67.06666666666666,non-lumpy,0
95.86666666666666,64.53333333333333,non-lumpy,0
94.93333333333334,67.06666666666666,non-lumpy,0
95.66666666666667,67.6,non-lumpy,0
94.86666666666666,63.4,non-lumpy,0
94.4,66.4,non-lumpy,0
95.6,68.86666666666666,non-lumpy,0
95.93333333333334,66.26666666666667,non-lumpy,0
96.46666666666667,69.2,non-lumpy,0
97.0,68.26666666666667,non-lumpy,0
96.33333333333333,67.6,non-lumpy,0
95.66666666666667,69.8,non-lumpy,0
97.46666666666667,69.8,non-lumpy,0
97.06666666666666,68.2,non-lumpy,0
97.0,67.8,non-lumpy,0
97.13333333333334,68.66666666666667,non-lumpy,0
96.46666666666667,67.2,non-lumpy,0
97.6,67.53333333333333,non-lumpy,0
97.46666666666667,67.26666666666667,non-lumpy,0
97.06666666666666,68.33333333333333,non-lumpy,0
