avg_degree,proportion_connected_nodes,overall_avg_connectivity,subj,category
23.48148148148148,1.0,19.53326612903226,030FD,bottle
5.5,1.0,4.11864406779661,031HW,bottle
15.37190082644628,1.0,8.01033862750974,032SR,bottle
,,,033SE,bottle
,,,036MR,bottle
,,,037SM,bottle
,,,038RB,bottle
10.363636363636363,1.0,6.4153132250580045,039ED,bottle
,,,041EC,bottle
16.43243243243243,1.0,12.143617021276595,042MB,bottle
,,,043MP,bottle
,,,045NA,bottle
,,,046TE,bottle
,,,047MS,bottle
80.32051282051282,1.0,55.590984284532674,030FD,bowl
10.755555555555556,1.0,5.845454545454546,031HW,bowl
,,,032SR,bowl
6.5,1.0,6.292307692307692,033SE,bowl
,,,036MR,bowl
39.87931034482759,1.0,28.72886405959032,037SM,bowl
20.979166666666668,1.0,12.019516955354964,038RB,bowl
4.8,1.0,3.2,039ED,bowl
,,,041EC,bowl
,,,042MB,bowl
2.0,1.0,1.7692307692307692,043MP,bowl
5.473684210526316,1.0,2.631578947368421,045NA,bowl
37.35714285714285,1.0,29.773376623376624,046TE,bowl
,,,047MS,bowl
22.62857142857143,1.0,17.35126050420168,030FD,cup
6.235294117647059,1.0,4.726415094339623,031HW,cup
,,,032SR,cup
,,,033SE,cup
,,,036MR,cup
10.592592592592592,1.0,6.646723646723647,037SM,cup
,,,038RB,cup
,,,039ED,cup
,,,041EC,cup
8.666666666666666,1.0,6.276190476190476,042MB,cup
6.65,1.0,3.71875,043MP,cup
4.571428571428571,1.0,2.6384615384615384,045NA,cup
7.0,1.0,5.652173913043479,046TE,cup
3.625,1.0,2.097826086956522,047MS,cup
16.418181818181818,1.0,6.655476726077176,030FD,door
,,,031HW,door
4.6923076923076925,1.0,1.966153846153846,032SR,door
,,,033SE,door
,,,036MR,door
3.176470588235294,1.0,1.5459317585301835,037SM,door
,,,038RB,door
4.0,1.0,2.5636363636363635,039ED,door
,,,041EC,door
,,,042MB,door
3.7142857142857135,1.0,1.835164835164835,043MP,door
,,,045NA,door
,,,046TE,door
2.2,1.0,1.6,047MS,door
44.44047619047619,1.0,22.01760764185914,030FD,window
,,,031HW,window
15.30188679245283,1.0,10.377380672466494,032SR,window
7.333333333333333,1.0,3.335227272727273,033SE,window
,,,036MR,window
14.7008547008547,1.0,7.476333333333334,037SM,window
3.52,1.0,2.909090909090909,038RB,window
5.375,1.0,5.029411764705882,039ED,window
,,,041EC,window
,,,042MB,window
,,,043MP,window
,,,045NA,window
23.7124183006536,1.0,21.9668023802067,046TE,window
21.170731707317078,1.0,13.402288467329118,047MS,window
5.757575757575758,1.0,2.9362745098039214,030FD,chair
13.675675675675675,1.0,8.798657718120806,031HW,chair
,,,032SR,chair
8.71111111111111,1.0,6.731277533039648,033SE,chair
,,,036MR,chair
5.306122448979592,1.0,2.6823394495412844,037SM,chair
21.942857142857143,1.0,12.5,038RB,chair
,,,039ED,chair
,,,041EC,chair
2.857142857142857,1.0,1.6417910447761197,042MB,chair
14.0,1.0,9.714429868819376,043MP,chair
8.333333333333334,1.0,6.3938223938223935,045NA,chair
,,,046TE,chair
12.90566037735849,1.0,6.842476489028213,047MS,chair
60.45738045738046,1.0,33.567463617463616,030FD,table
7.8,1.0,4.6,031HW,table
24.75,1.0,15.972026108964966,032SR,table
10.48148148148148,1.0,5.755802219979818,033SE,table
,,,036MR,table
54.79047619047619,1.0,26.46304373608128,037SM,table
10.0,1.0,5.252257676098735,038RB,table
26.713375796178344,1.0,13.147597461468722,039ED,table
,,,041EC,table
10.130434782608695,1.0,6.367718446601942,042MB,table
,,,043MP,table
22.127659574468087,1.0,13.728039759593155,045NA,table
42.94472361809045,1.0,23.196889741744624,046TE,table
16.555555555555557,1.0,9.410526315789474,047MS,table
4.470588235294118,1.0,2.1544117647058822,030FD,spoon
6.516129032258065,1.0,3.2666666666666666,031HW,spoon
14.082191780821915,1.0,8.25743006993007,032SR,spoon
,,,033SE,spoon
,,,036MR,spoon
27.664429530201343,1.0,16.257799274486093,037SM,spoon
12.541176470588235,1.0,5.966814159292035,038RB,spoon
2.2666666666666666,1.0,1.2278481012658229,039ED,spoon
,,,041EC,spoon
,,,042MB,spoon
7.714285714285714,1.0,4.995157384987894,043MP,spoon
,,,045NA,spoon
,,,046TE,spoon
,,,047MS,spoon
