avg_degree,proportion_connected_nodes,overall_avg_connectivity,subj,category
7.409395973154362,0.6845637583892618,9.084330794341676,030FD,bottle
29.2,0.9452991452991452,8.874570189863956,030FD,bowl
27.602169981916816,0.9059674502712476,11.422535569752348,030FD,chair
12.801556420233464,0.8093385214007782,17.867574257425744,030FD,cup
9.807106598984772,0.8324873096446701,5.323306074766355,030FD,door
3.0163934426229506,0.7049180327868853,3.1595238095238094,030FD,spoon
31.05144694533762,0.9405144694533762,14.589525261049742,030FD,table
21.30210772833724,0.8711943793911007,9.518368890304092,030FD,window
2.60377358490566,0.6981132075471698,2.557788944723618,031HW,bottle
3.4571428571428573,0.5428571428571428,3.784469096671949,031HW,bowl
5.553571428571429,0.5446428571428571,6.938706968933669,031HW,chair
1.7058823529411764,0.4411764705882353,3.7906976744186047,031HW,cup
2.6666666666666665,0.7407407407407407,2.038567493112948,031HW,door
2.260869565217391,0.5652173913043478,2.210280373831776,031HW,spoon
2.4081632653061225,0.5306122448979592,2.155234657039711,031HW,table
0.6153846153846154,0.5384615384615384,1.0,031HW,window
6.802919708029197,0.8248175182481752,4.1042424242424245,032SR,bottle
1.0,0.7,1.6,032SR,bowl
13.303370786516854,0.8052434456928839,12.328463960811757,032SR,chair
2.375,0.6875,2.065,032SR,cup
2.6666666666666665,0.8148148148148148,2.5789473684210527,032SR,door
5.106796116504855,0.6796116504854369,4.5028938906752405,032SR,spoon
10.204878048780488,0.8195121951219512,7.277998717126363,032SR,table
9.95,0.82,7.675486205336951,032SR,window
0.5454545454545454,0.5454545454545454,1.0,036MR,bottle
,,,036MR,bowl
2.0,0.5609756097560976,2.563106796116505,036MR,chair
0.8,0.6666666666666666,1.0,036MR,cup
1.4482758620689655,0.6206896551724138,1.463768115942029,036MR,door
,,,036MR,spoon
1.95,0.525,2.601851851851852,036MR,table
0.8235294117647058,0.4705882352941176,1.8571428571428568,036MR,window
4.073170731707317,0.6829268292682927,3.737041719342604,037SM,bottle
15.905956112852664,0.7711598746081505,9.140532902704884,037SM,bowl
10.75,0.8194444444444444,6.279944410666204,037SM,chair
5.264150943396227,0.6886792452830188,3.862614913176711,037SM,cup
2.6666666666666665,0.8888888888888888,1.8108108108108107,037SM,door
10.556603773584904,0.6556603773584906,8.238756326825742,037SM,spoon
28.702608695652174,0.7843478260869565,20.826664902142426,037SM,table
6.656716417910448,0.7910447761194029,3.45121359223301,037SM,window
2.1818181818181817,0.5681818181818182,2.164556962025316,038RB,bottle
7.95,0.84375,4.3651460584233694,038RB,bowl
